,F,GM,KMX,TSLA
Date,,,,
1/2/2018,10.89041328,38.07221222,64.76000214,64.10600281
1/3/2018,10.97643852,39.00124359,66.94000244,63.45000076
1/4/2018,11.16568565,40.20352554,68.25,62.92399979
1/5/2018,11.35493469,40.08511353,71.04000092,63.31600189
1/8/2018,11.31192207,40.27639008,70.05000305,67.28199768
1/9/2018,11.25170803,40.12154388,69.80000305,66.73799896
1/10/2018,11.20869541,39.16519165,70.30000305,66.95999908
1/11/2018,11.32052517,40.2490654,71.91000366,67.58999634
1/12/2018,11.38074112,40.13976669,72.33000183,67.2440033
1/16/2018,11.26891327,40.2490654,71.33000183,68.01200104
1/17/2018,10.47750854,40.10333633,69.83999634,69.43199921
1/18/2018,10.38288403,39.94849396,70.54000092,68.91400146
1/19/2018,10.32266903,39.30181503,70.58000183,70.0039978
1/22/2018,10.33987331,39.42932892,71.48999786,70.31199646
1/23/2018,10.28825855,39.51129913,70.54000092,70.55799866
1/24/2018,10.36567974,40.22174072,70.94999695,69.1780014
1/25/2018,9.952772141,39.31092072,71.54000092,67.52799988
1/26/2018,10.02159023,39.61149597,72.41999817,68.56999969
1/29/2018,9.80123806,39.18340683,72.36000061,69.90599823
1/30/2018,9.748353958,38.89194107,71.81999969,69.16400146
1/31/2018,9.669026375,38.62780762,71.37000275,70.86199951
2/1/2018,9.624957085,38.6460228,70.80999756,69.84999847
2/2/2018,9.439862251,37.34355164,68.75,68.75
2/5/2018,9.025600433,36.01376343,64.81999969,66.62599945
2/6/2018,9.483932495,38.12685776,65.31999969,66.79399872
2/7/2018,9.483932495,38.60958862,65.40000153,69
2/8/2018,9.193068504,37.11584854,64.33999634,63.04600143
2/9/2018,9.281208992,37.76252747,64.48999786,62.08399963
2/12/2018,9.43104744,38.25437546,65.66000366,63.14599991
2/13/2018,9.33409214,37.70787811,63.38999939,64.73200226
2/14/2018,9.466302872,38.08132172,63.77999878,64.46199799
2/15/2018,9.483932495,38.11774445,64.33000183,66.81400299
2/16/2018,9.351719856,37.42552185,64.43000031,67.09799957
2/20/2018,9.369350433,37.13407135,63.31000137,66.95400238
2/21/2018,9.342907906,36.94279861,60.97999954,66.66000366
2/22/2018,9.369350433,37.26157379,61.04000092,69.23400116
2/23/2018,9.43104744,37.26157379,62.75999832,70.41000366
2/26/2018,9.598515511,37.83539963,62.88999939,71.48400116
2/27/2018,9.351719856,36.58757401,62.04000092,70.19799805
2/28/2018,9.351719856,35.84070206,61.91999817,68.61199951
3/1/2018,9.069671631,34.41982651,60.06000137,66.18599701
3/2/2018,9.166625023,34.09193039,59.97000122,67.02400208
3/5/2018,9.325278282,34.37428665,60.45999908,66.66999817
3/6/2018,9.369350433,34.54734421,61.49000168,65.63999939
3/7/2018,9.369350433,34.37428665,60.72000122,66.45999908
3/8/2018,9.351719856,34.8159256,60.75999832,65.81999969
3/9/2018,9.45748806,34.8159256,62.43000031,65.43399811
3/12/2018,9.528002739,34.80673218,62.5,69.10199738
3/13/2018,9.501560211,34.97233582,62.61999893,68.36799622
3/14/2018,9.713097572,34.67790985,62.79999924,65.3259964
3/15/2018,9.757167816,34.82513046,62.16999817,65.12000275
3/16/2018,9.827680588,34.90792847,62.86999893,64.26999664
3/19/2018,9.704284668,34.05225372,62.49000168,62.7120018
3/20/2018,9.686653137,33.94184875,61.93000031,62.11000061
3/21/2018,9.783608437,34.57670593,61.50999832,63.30599976
3/22/2018,9.475118637,33.44500351,60,61.81999969
3/23/2018,9.30765152,32.35930252,59.36000061,60.30799866
3/26/2018,9.545631409,33.11376953,60.59000015,60.83599854
3/27/2018,9.545631409,32.08328247,59.75,55.83599854
3/28/2018,9.572072029,32.6353302,60.63999939,51.55599976
3/29/2018,9.765980721,33.43580627,61.93999863,53.22600174
4/2/2018,9.572072029,32.90215302,59.91999817,50.49599838
4/3/2018,9.827680588,33.98785019,59.95999908,53.50600052
4/4/2018,9.986333847,34.99074173,62.72999954,57.38800049
4/5/2018,10.00396252,34.96313858,62.24000168,61.14400101
4/6/2018,9.854123116,34.66871262,60.29999924,59.86000061
4/9/2018,9.915821075,34.80673218,58.77000046,57.93199921
4/10/2018,10.09210205,35.94762802,60.81999969,60.93999863
4/11/2018,10.07447433,35.88322067,60.5,60.18600082
4/12/2018,9.968706131,35.72680664,61,58.81600189
4/13/2018,9.94226265,35.63479614,61.72000122,60.06800079
4/16/2018,10.03040409,36.0396347,62,58.24200058
4/17/2018,10.03040409,36.08564377,62.97000122,57.5379982
4/18/2018,9.986333847,35.81880951,63.27000046,58.66999817
4/19/2018,9.789823532,34.75152206,62.56999969,60.01599884
4/20/2018,9.664770126,34.60430908,61.15999985,58.04800034
4/23/2018,9.861280441,34.67790985,61.36000061,56.67399979
4/24/2018,9.789823532,34.89873505,61.31999969,56.69200134
4/25/2018,9.923807144,35.06435394,62.09000015,56.13800049
4/26/2018,10.20964146,35.19316101,62.09000015,57.09600067
4/27/2018,10.26323509,34.64111328,62.86000061,58.81600189
4/30/2018,10.03992748,33.80383682,62.5,58.77999878
5/1/2018,10.05779362,33.50941086,63.54000092,59.98400116
5/2/2018,10.01312923,33.30699539,63.52000046,60.22999954
5/3/2018,10.00419998,33.26099014,63.31999969,56.88999939
5/4/2018,10.14711475,33.77622604,64.95999908,58.81800079
5/7/2018,10.12925053,33.43580627,64.16999817,60.55400085
5/8/2018,10.06672573,33.42660141,63.15000153,60.39400101
5/9/2018,9.879145622,33.37139893,64.11000061,61.36999893
5/10/2018,10.01312923,34.19027328,63.27999878,61.00400162
5/11/2018,9.995265961,33.94184875,63.79999924,60.2120018
5/14/2018,9.986334801,33.70262909,64.77999878,58.39400101
5/15/2018,10.02206326,33.98785019,65,56.83599854
